Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89,4,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89,4,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89,4,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,2|5,теор.т,91023
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3,т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3|5,т,87975
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3|5,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3|5,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,89 оцинк,3|5,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,3,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,3|5,теор.т,87975
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,3|5,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,3|5,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,3|5,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,4,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,4,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,108 оцинк,4,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,114 оцинк,4 | 4|5,теор.т,99659
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4,т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4,теор.т,113058
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4|5,т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4|5,т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4|5,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4|5,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,133 оцинк,4|5,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4,т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4,теор.т,87975
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4,теор.т,88483
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,т,99151
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,т,99659
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,теор.т,113058
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,теор.т,98135
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,теор.т,99151
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,теор.т,99355
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,4|5,теор.т,99659
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,5,т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,5,т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,5,теор.т,88991
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,5,теор.т,89195
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,159 оцинк,5,теор.т,89499
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,219 оцинк,5,теор.т,126583
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,219 оцинк,5,теор.т,126787
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,219 оцинк,6,теор.т,126583
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,219 оцинк,6,теор.т,126787
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,273,6,теор.т,126583
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,273,6,теор.т,126787
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,325,6,теор.т,126583
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,325,6,теор.т,126787
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,325,6,теор.т,127091
Трубы,ТРУБЫ ЭЛЕКТРОСВАРНЫЕ,325 оцинк,8,теор.т,127091
Сортовой прокат,ШВЕЛЛЕР,10,,т,80254
Сортовой прокат,ШВЕЛЛЕР,10,,т,80965
Сортовой прокат,ШВЕЛЛЕР,10,,т,81270
Сортовой прокат,ШВЕЛЛЕР,10 6м,,т,80254
Сортовой прокат,ШВЕЛЛЕР,10 6м,,т,80965
Сортовой прокат,ШВЕЛЛЕР,10 6м,,т,81270
Сортовой прокат,ШВЕЛЛЕР,12,,т,86350
Сортовой прокат,ШВЕЛЛЕР,12,,т,87874
Сортовой прокат,ШВЕЛЛЕР,12 6м,,т,86350
Сортовой прокат,ШВЕЛЛЕР,12 6м,,т,87874
Сортовой прокат,ШВЕЛЛЕР,12 с,,т,76698
Сортовой прокат,ШВЕЛЛЕР,14,,т,86858
Сортовой прокат,ШВЕЛЛЕР,14,,т,87366
Сортовой прокат,ШВЕЛЛЕР,14 6м,,т,87366
Сортовой прокат,ШВЕЛЛЕР,14 6м,,т,88382
Сортовой прокат,ШВЕЛЛЕР,16,,т,86350
Сортовой прокат,ШВЕЛЛЕР,16,,т,87366
Сортовой прокат,ШВЕЛЛЕР,16 6м,,т,86350
Сортовой прокат,ШВЕЛЛЕР,16 6м,,т,87366
Сортовой прокат,ШВЕЛЛЕР,16 н/д,,т,82794
Сортовой прокат,ШВЕЛЛЕР,18,,т,86350
Сортовой прокат,ШВЕЛЛЕР,18,,т,87366
Сортовой прокат,ШВЕЛЛЕР,20,,т,116281
Сортовой прокат,ШВЕЛЛЕР,20,,т,116322
Сортовой прокат,ШВЕЛЛЕР,22,,т,116281
Сортовой прокат,ШВЕЛЛЕР,24,,т,116281
Сортовой прокат,ШВЕЛЛЕР,27,,т,126187
Сортовой прокат,ШВЕЛЛЕР,27 н/д,,т,113843
Сортовой прокат,ШВЕЛЛЕР,27 с,,т,96002
Сортовой прокат,ШВЕЛЛЕР,30,,т,126187
Сортовой прокат,ШВЕЛЛЕР,30 н/д,,т,96002
Сортовой прокат,ШВЕЛЛЕР,5,,т,81270
Сортовой прокат,ШВЕЛЛЕР,5 6м,,т,81270
Сортовой прокат,ШВЕЛЛЕР,6.5,,т,81270
Сортовой прокат,ШВЕЛЛЕР,6.5 6м,,т,81270
Сортовой прокат,ШВЕЛЛЕР,8,,т,80254
Сортовой прокат,ШВЕЛЛЕР,8,,т,81778
Сортовой прокат,ШВЕЛЛЕР,8,,т,82083
Сортовой прокат,ШВЕЛЛЕР,8 6м,,т,80254
Сортовой прокат,ШВЕЛЛЕР,8 6м,,т,82083
Листовой прокат,СТАЛЬ КРОВЕЛЬНАЯ,,0.48,т,24374
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,6.0 AISI 304 (08Х18Н10) имп,1,м,71
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,8.0 AISI 201 имп,1,м,61
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,8.0 AISI 201 имп,1,м,63
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,8.0 AISI 304 (08Х18Н10) имп,1,м,85
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,8.0 AISI 304 (08Х18Н10) имп,1,м,88
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 201,1,м,69
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 201 имп,1,м,69
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 201 имп,1,м,71
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 201 имп,1,м,74
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 201 имп,1|5,м,101
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 304 (08Х18Н10),1,м,104
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 304 (08Х18Н10),1|5,м,147
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 304 (08Х18Н10) имп,1,м,107
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 304 (08Х18Н10) имп,1,м,110
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,10.0 AISI 304 (08Х18Н10) имп,1|5,м,150
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 201,1|5,м,115
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 201 имп,1,м,96
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 201 имп,1|5,м,115
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 304 (08Х18Н10),1,м,127
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 304 (08Х18Н10),1,м,132
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 304 (08Х18Н10),1|5,м,158
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 304 (08Х18Н10),1|5,м,167
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 304 (08Х18Н10),2,м,219
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,12.0 AISI 304 (08Х18Н10),2,м,232
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,14.0 AISI 201,1|5,м,129
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,14.0 AISI 304 (08Х18Н10),2,м,254
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,14.0 AISI 304 (08Х18Н10),2,м,268
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,14.0 AISI 304 (08Х18Н10) имп,1|5,м,172
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,14.0 AISI 304 (08Х18Н10) имп,2,м,254
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,14.0 AISI 304 (08Х18Н10) имп,2,м,268
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201,1,м,109
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201,1,м,100
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201,1|5,м,135
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201,1|5,м,147
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201 имп,1,м,109
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201 имп,1,м,100
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201 имп,1|2,м,120
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201 имп,1|2,м,122
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201 имп,1|5,м,135
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 201 имп,1|5,м,147
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),0|6,м,100
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),1,м,139
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),1,м,141
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),1|2,м,183
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),1|2,м,71
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),1|5,м,213
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),1|5,м,101
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),2,м,269
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),2,м,273
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10),2,м,277
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1,м,125
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1,м,139
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1,м,141
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1|2,м,167
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1|2,м,183
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1|5,м,208
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,1|5,м,213
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,2,м,269
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,2,м,273
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 304 (08Х18Н10) имп,2,м,277
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,16.0 AISI 316L имп,1|5,м,293
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 201,1,м,122
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 201,1|5,м,149
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 201 имп,1,м,122
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 201 имп,1|5,м,149
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10),1,м,154
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10),1|5,м,104
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10),1|5,м,129
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10),1|5,м,220
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10),1|5,м,225
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10),2,м,320
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10) имп,1|5,м,220
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,18.0 AISI 304 (08Х18Н10) имп,1|5,м,225
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 201,1|5,м,183
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 201 имп,1,м,127
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 201 имп,1|5,м,183
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),1,м,179
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),1,м,191
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),1|2,м,244
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),1|5,м,111
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),1|5,м,160
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),1|5,м,263
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),2,м,104
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),2,м,340
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10),2,м,361
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10) имп,1,м,179
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10) имп,1,м,191
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10) имп,1|5,м,263
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10) имп,1|5,м,266
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10) имп,2,м,340
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,20.0 AISI 304 (08Х18Н10) имп,2,м,361
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10),1|5,м,277
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10),2,м,384
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10),2,м,391
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10),3,м,508
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10),3,м,518
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,1|5,м,277
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,2,м,384
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,2,м,388
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,2,м,391
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,2|5,м,444
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,3,м,508
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,21.3 AISI 304 (08Х18Н10) имп,3,м,518
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,22.0 AISI 304 (08Х18Н10),1,м,175
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,22.0 AISI 304 (08Х18Н10),1,м,188
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,22.0 AISI 304 (08Х18Н10),2,м,367
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,22.0 AISI 304 (08Х18Н10),2,м,371
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,22.0 AISI 304 (08Х18Н10) имп,1|5,м,293
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,22.0 AISI 304 (08Х18Н10) имп,2,м,371
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201,1,м,168
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201,1|5,м,224
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201,2,м,292
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201,2,м,295
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201 имп,1,м,168
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201 имп,1|5,м,218
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 201 имп,1|5,м,224
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1,м,229
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1,м,241
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1|2,м,118
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1|2,м,244
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1|5,м,137
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1|5,м,326
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1|5,м,334
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),1|5,м,98
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),2,м,120
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),2,м,441
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),2|5,м,559
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),2|5,м,564
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),2|5,м,579
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10),3,м,620
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,1,м,229
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,1,м,239
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,1,м,241
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,1|5,м,326
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,1|5,м,334
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,2,м,444
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,2|5,м,559
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,2|5,м,564
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,3,м,620
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 304 (08Х18Н10) имп,3,м,624
Нержавейка,ТРУБЫ НЕРЖАВ. ЭЛ-СВАРНЫЕ,25.0 AISI 316L,1|5,м,430
