Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,32 | 34| 35| 36| 38| 40| 42| 45| 48| 50| 52| 56| 60| 65| 70| 75| 80| 85| 90| 95| 100| 105| 110| 120,т,70094
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,130 | 140| 150| 160| 170| 180,т,71110
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,190 | 200| 210| 220,т,76190
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,230 | 240| 250,т,110734
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,260 | 270| 280| 300,т,116830
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,12,т,82286
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,14 | 16| 18| 20| 22| 24| 25| 26| 28| 30,т,81270
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,34 | 36| 38| 42| 45| 50| 56| 60| 65| 70| 75| 80| 85| 90| 95| 100| 105| 110| 120,т,70094
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,125 | 130| 140| 150| 160| 170| 180,т,71110
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,190 | 200| 210,т,76190
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,230 | 240| 250,т,110734
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст35,260 | 270| 280| 300,т,116830
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,10 | 12,т,82286
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,14 | 16| 18| 20| 22| 24| 25| 26| 28| 30,т,81270
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,32 | 34| 36| 38| 40| 42| 45| 46| 48| 50| 52| 54| 56| 60| 65| 70| 75| 80| 85| 90| 95| 100| 105| 110| 115| 120,т,70094
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,125 | 130| 140| 150| 160| 170| 180,т,71110
